Fecha ,Tasa ,IPC
24/06/2007,1944.01,64.12
25/06/2007,1944.01,64.12
26/06/2007,1960.32,64.12
27/06/2007,1965.31,64.12
28/06/2007,1982.29,64.12
29/06/2007,1958.09,64.12
30/06/2007,1960.61,64.12
1/07/2007,1960.61,64.23
2/07/2007,1960.61,64.23
3/07/2007,1960.61,64.23
4/07/2007,1958.95,64.23
5/07/2007,1958.95,64.23
6/07/2007,1969.36,64.23
7/07/2007,1962.55,64.23
8/07/2007,1962.55,64.23
9/07/2007,1962.55,64.23
10/07/2007,1945.94,64.23
11/07/2007,1960.31,64.23
12/07/2007,1964.82,64.23
13/07/2007,1954.48,64.23
14/07/2007,1956.05,64.23
15/07/2007,1956.05,64.23
16/07/2007,1956.05,64.23
17/07/2007,1942.43,64.23
18/07/2007,1931.04,64.23
19/07/2007,1928.59,64.23
20/07/2007,1921.04,64.23
21/07/2007,1921.04,64.23
22/07/2007,1921.04,64.23
23/07/2007,1921.04,64.23
24/07/2007,1912.90,64.23
25/07/2007,1916.23,64.23
26/07/2007,1935.68,64.23
27/07/2007,1981.58,64.23
28/07/2007,1984.10,64.23
29/07/2007,1984.10,64.23
30/07/2007,1984.10,64.23
31/07/2007,1971.80,64.23
1/08/2007,1958.50,64.14
2/08/2007,1971.20,64.14
3/08/2007,1957.68,64.14
4/08/2007,1963.69,64.14
5/08/2007,1963.69,64.14
6/08/2007,1963.69,64.14
7/08/2007,1976.89,64.14
8/08/2007,1976.89,64.14
9/08/2007,1957.58,64.14
10/08/2007,1981.90,64.14
11/08/2007,2006.79,64.14
12/08/2007,2006.79,64.14
13/08/2007,2006.79,64.14
14/08/2007,1997.38,64.14
15/08/2007,2016.30,64.14
16/08/2007,2048.44,64.14
17/08/2007,2124.40,64.14
18/08/2007,2113.54,64.14
19/08/2007,2113.54,64.14
20/08/2007,2113.54,64.14
21/08/2007,2113.54,64.14
22/08/2007,2154.94,64.14
23/08/2007,2133.04,64.14
24/08/2007,2138.13,64.14
25/08/2007,2128.17,64.14
26/08/2007,2128.17,64.14
27/08/2007,2128.17,64.14
28/08/2007,2114.15,64.14
29/08/2007,2147.34,64.14
30/08/2007,2160.65,64.14
31/08/2007,2173.17,64.14
1/09/2007,2160.99,64.20
2/09/2007,2160.99,64.20
3/09/2007,2160.99,64.20
4/09/2007,2160.99,64.20
5/09/2007,2161.56,64.20
6/09/2007,2174.56,64.20
7/09/2007,2166.60,64.20
8/09/2007,2191.00,64.20
9/09/2007,2191.00,64.20
10/09/2007,2191.00,64.20
11/09/2007,2194.65,64.20
12/09/2007,2185.89,64.20
13/09/2007,2182.22,64.20
14/09/2007,2157.75,64.20
15/09/2007,2128.50,64.20
16/09/2007,2128.50,64.20
17/09/2007,2128.50,64.20
18/09/2007,2130.66,64.20
19/09/2007,2124.36,64.20
20/09/2007,2055.28,64.20
21/09/2007,2042.63,64.20
22/09/2007,2026.33,64.20
23/09/2007,2026.33,64.20
24/09/2007,2026.33,64.20
25/09/2007,2028.95,64.20
26/09/2007,2045.51,64.20
27/09/2007,2009.46,64.20
28/09/2007,2013.18,64.20
29/09/2007,2023.19,64.20
30/09/2007,2023.19,64.20
1/10/2007,2023.19,64.20
2/10/2007,2015.75,64.20
3/10/2007,2013.39,64.20
4/10/2007,2017.69,64.20
5/10/2007,2018.45,64.20
6/10/2007,1999.95,64.20
7/10/2007,1999.95,64.20
8/10/2007,1999.95,64.20
9/10/2007,1999.95,64.20
10/10/2007,1968.13,64.20
11/10/2007,1972.81,64.20
12/10/2007,1963.03,64.20
13/10/2007,1978.97,64.20
14/10/2007,1978.97,64.20
15/10/2007,1978.97,64.20
16/10/2007,1978.97,64.20
17/10/2007,2004.58,64.20
18/10/2007,1994.06,64.20
19/10/2007,2018.55,64.20
20/10/2007,2007.24,64.20
21/10/2007,2007.24,64.20
22/10/2007,2007.24,64.20
23/10/2007,2022.76,64.20
24/10/2007,2006.67,64.20
25/10/2007,2025.70,64.20
26/10/2007,2020.29,64.20
27/10/2007,2005.28,64.20
28/10/2007,2005.28,64.20
29/10/2007,2005.28,64.20
30/10/2007,1995.94,64.20
31/10/2007,1999.44,64.20
1/11/2007,1987.69,64.51
2/11/2007,2008.11,64.51
3/11/2007,2014.12,64.51
4/11/2007,2014.12,64.51
5/11/2007,2014.12,64.51
6/11/2007,2014.12,64.51
7/11/2007,2012.89,64.51
8/11/2007,2023.99,64.51
9/11/2007,2033.94,64.51
10/11/2007,2045.59,64.51
11/11/2007,2045.59,64.51
12/11/2007,2045.59,64.51
13/11/2007,2045.59,64.51
14/11/2007,2051.88,64.51
15/11/2007,2032.04,64.51
16/11/2007,2044.70,64.51
17/11/2007,2040.35,64.51
18/11/2007,2040.35,64.51
19/11/2007,2040.35,64.51
20/11/2007,2054.30,64.51
21/11/2007,2056.28,64.51
22/11/2007,2074.60,64.51
23/11/2007,2074.60,64.51
24/11/2007,2088.24,64.51
25/11/2007,2088.24,64.51
26/11/2007,2088.24,64.51
27/11/2007,2089.11,64.51
28/11/2007,2094.74,64.51
29/11/2007,2066.81,64.51
30/11/2007,2060.42,64.51
1/12/2007,2043.11,64.82
2/12/2007,2043.11,64.82
3/12/2007,2043.11,64.82
4/12/2007,2052.18,64.82
5/12/2007,2057.40,64.82
6/12/2007,2036.60,64.82
7/12/2007,2023.18,64.82
8/12/2007,2016.77,64.82
9/12/2007,2016.77,64.82
10/12/2007,2016.77,64.82
11/12/2007,2009.83,64.82
12/12/2007,2005.82,64.82
13/12/2007,2003.90,64.82
14/12/2007,2017.36,64.82
15/12/2007,2009.85,64.82
16/12/2007,2009.85,64.82
